date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,0.866162,-0.259386,-2.578618,1.133584,-1.019532,-0.904623,-0.320462,1.469375,0.161259,-1.15036
2014-01-03,0.859482,-0.257291,-2.568101,1.086039,-1.009455,-0.8953,-0.291948,1.474339,0.155718,-1.147463
2014-01-06,0.869803,-0.315547,-2.554774,1.126855,-1.023064,-0.906528,-0.251814,1.408296,0.156469,-1.148957
2014-01-07,0.860151,-0.334829,-2.548251,1.129172,-1.010091,-0.883705,-0.260311,1.425151,0.158096,-1.141759
2014-01-08,0.822021,-0.375266,-2.519364,1.194453,-0.961279,-0.826625,-0.282889,1.486106,0.163469,-1.140454
2014-01-09,0.831923,-0.429648,-2.509735,1.207485,-0.975307,-0.853657,-0.257889,1.479516,0.162001,-1.148887
2014-01-10,0.841006,-0.465512,-2.488062,1.238017,-0.986147,-0.873265,-0.240565,1.414257,0.156056,-1.153152
2014-01-13,0.869741,-0.489304,-2.463262,1.257005,-1.019434,-0.913824,-0.218709,1.312429,0.163307,-1.146886
2014-01-14,0.877763,-0.466861,-2.438599,1.187529,-1.031397,-0.911012,-0.217101,1.320711,0.1659,-1.139629
2014-01-15,0.858574,-0.482861,-2.454596,1.18922,-1.007688,-0.874238,-0.221191,1.395397,0.167626,-1.131449
2014-01-16,0.875618,-0.478985,-2.457896,1.189015,-1.02739,-0.898313,-0.204623,1.333131,0.164879,-1.116253
2014-01-17,0.881936,-0.479993,-2.448106,1.201516,-1.03294,-0.889343,-0.209738,1.317486,0.164764,-1.115173
2014-01-20,0.900859,-0.509884,-2.444311,1.188752,-1.052341,-0.916519,-0.195439,1.268842,0.167323,-1.115845
2014-01-21,0.89264,-0.555067,-2.897242,1.182367,-1.042935,-0.895337,-0.22229,1.326738,0.156315,-1.114135
2014-01-22,0.891288,-0.520045,-2.900134,1.116096,-1.045233,-0.901793,-0.208623,1.350042,0.158645,-1.112544
2014-01-23,0.897676,-0.521093,-2.891042,1.044157,-1.051675,-0.896357,-0.218221,1.364005,0.160057,-1.106458
2014-01-24,0.893398,-0.540117,-2.858157,1.010479,-1.048759,-0.889735,-0.228287,1.387811,0.149892,-1.103689
2014-01-27,0.928744,-0.605679,-2.850038,1.045443,-1.087626,-0.930354,-0.219846,1.286209,0.152597,-1.100465
2014-01-28,0.917307,-0.604788,-2.751059,1.028039,-1.075072,-0.919762,-0.223002,1.321613,0.158999,-1.102821
2014-01-29,0.897022,-0.64333,-2.770591,1.036013,-1.052353,-0.883021,-0.228905,1.38862,0.157796,-1.1017
2014-01-30,0.878835,-0.582727,-2.489952,1.046018,-1.033872,-0.854267,-0.24136,1.412735,0.136841,-1.100235
2014-02-07,0.909192,-0.491606,-2.415357,1.067516,-1.066125,-0.882049,-0.290501,1.330274,0.156264,-1.091693
2014-02-10,0.893856,-0.57342,-2.372347,1.032906,-1.052052,-0.863911,-0.326979,1.406481,0.154675,-1.086472
2014-02-11,0.921925,-0.540908,-2.297359,1.014596,-1.084154,-0.905254,-0.332413,1.302917,0.157796,-1.091709
2014-02-12,0.934026,-0.532454,-2.297098,0.995254,-1.093619,-0.905398,-0.344872,1.306206,0.152225,-1.089358
