date,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
2014-01-02,1.056727,-0.154756,-0.290356,-1.277659,-1.223969,2.004978,-0.719672,1.474196,0.866345,1.949378
2014-01-03,1.053598,-0.145527,-0.143612,-1.28186,-1.218225,2.007387,-0.76587,1.474339,0.868706,1.949171
2014-01-06,1.044724,-0.167968,-0.180269,-1.271285,-1.212033,2.019115,-0.746993,1.478041,0.86651,1.937483
2014-01-07,1.050216,-0.170197,-0.137986,-1.290738,-1.215135,2.020271,-0.771953,1.482054,0.869237,1.940518
2014-01-08,1.055348,-0.188309,-0.091132,-1.286221,-1.21724,2.026152,-0.808741,1.486106,0.873597,1.940352
2014-01-09,1.049485,-0.216935,-0.11948,-1.287715,-1.213758,2.033443,-0.801538,1.489177,0.871344,1.943535
2014-01-10,1.042878,-0.210767,-0.157716,-1.273427,-1.207752,2.043598,-0.794842,1.488423,0.863978,1.938024
2014-01-13,1.038513,-0.199335,-0.125608,-1.277983,-1.202396,2.045834,-0.786975,1.495349,0.864579,1.936604
2014-01-14,1.046352,-0.234829,-0.15158,-1.273427,-1.212174,2.037937,-0.793314,1.493237,0.867893,1.939641
2014-01-15,1.050916,-0.238802,-0.20893,-1.305329,-1.215025,2.043303,-0.807798,1.503154,0.869759,1.950973
2014-01-16,1.051657,-0.235391,-0.212753,-1.302909,-1.214782,2.041453,-0.795061,1.500033,0.864362,1.94068
2014-01-17,1.052416,-0.236759,-0.19879,-1.304451,-1.214185,2.045448,-0.800018,1.506995,0.866721,1.94369
2014-01-20,1.051166,-0.252523,-0.190921,-1.310432,-1.20971,2.038844,-0.797931,1.503334,0.870342,1.942869
2014-01-21,1.057894,-0.271357,-0.245647,-1.342651,-1.215384,2.031233,-0.833629,1.500677,0.875594,1.945794
2014-01-22,1.058651,-0.256376,-0.235972,-1.336719,-1.220024,2.031114,-0.828133,1.503467,0.877346,1.948746
2014-01-23,1.065028,-0.266435,-0.259899,-1.225254,-1.224061,2.028942,-0.828375,1.506049,0.879838,1.956247
2014-01-24,1.070775,-0.269211,-0.297417,-1.267249,-1.230721,2.028273,-0.837441,1.505274,0.878731,1.959843
2014-01-27,1.072104,-0.254817,-0.363867,-1.253911,-1.230089,2.023028,-0.851803,1.497705,0.88169,1.956169
2014-01-28,1.070028,-0.255958,-0.362809,-1.241884,-1.228549,2.017141,-0.868355,1.491,0.880139,1.950093
2014-01-29,1.069842,-0.270096,-0.42009,-1.202122,-1.228194,2.014672,-0.886033,1.487152,0.875626,1.950176
2014-01-30,1.072298,-0.258784,-0.405601,-1.225591,-1.232624,2.013207,-0.869551,1.490788,0.878521,1.95451
2014-02-07,1.081152,-0.28929,-0.421333,-1.234757,-1.236576,2.01264,-0.906228,1.494912,0.884376,1.935428
2014-02-10,1.084331,-0.385848,-0.437838,-1.248568,-1.24213,2.009544,-0.92665,1.494366,0.885178,1.936326
2014-02-11,1.085152,-0.384147,-0.421914,-1.2523,-1.244298,2.006774,-0.936692,1.487408,0.882587,1.928583
2014-02-12,1.094359,-0.402135,-0.39905,-1.259656,-1.247452,2.001034,-0.956852,1.488082,0.879572,1.933325
2014-02-13,1.087617,-0.385366,-0.425329,-1.252945,-1.244716,2.003791,-0.930035,1.475649,0.873674,1.927985
2014-02-14,1.094319,-0.418519,-0.378767,-1.270455,-1.250318,1.998155,-0.943251,1.478495,0.875737,1.933355
2014-02-17,1.104832,-0.444678,-0.374195,-1.279774,-1.259923,1.992717,-0.977371,1.478964,0.877462,1.937126
2014-02-18,1.106783,-0.438427,-0.411733,-1.296553,-1.260698,1.991646,-0.995655,1.47838,0.88202,1.939539
2014-02-19,1.103209,-0.428151,-0.439558,-1.287544,-1.259166,1.994695,-0.993765,1.468106,0.876416,1.92719
2014-02-20,1.09546,-0.443986,-0.401408,-1.330754,-1.251862,1.989884,-0.972411,1.468839,0.871334,1.930536
2014-02-21,1.095766,-0.449584,-0.376093,-1.335726,-1.250117,2.000637,-0.995513,1.474222,0.873735,1.944623
2014-02-24,1.111466,-0.400714,-0.380148,-1.295862,-1.259573,2.006709,-1.000182,1.477313,0.871698,1.957152
2014-02-25,1.098851,-0.411553,-0.330999,-1.27849,-1.246806,2.007281,-0.953666,1.473813,0.864612,1.945995
2014-02-26,1.103567,-0.432776,-0.341041,-1.222698,-1.25334,2.010638,-0.938069,1.476207,0.867132,1.949567
2014-02-27,1.093864,-0.367828,-0.286678,-1.162282,-1.249753,2.020816,-0.903326,1.481338,0.864217,1.947883
2014-02-28,1.104336,-0.323328,-0.354142,-1.134822,-1.256147,2.018954,-0.91013,1.480775,0.868479,1.942305
2014-03-03,1.114446,-0.330682,-0.292335,-1.20024,-1.260696,2.011596,-0.929744,1.479851,0.85846,1.942124
2014-03-04,1.115046,-0.33251,-0.304926,-1.204942,-1.259736,2.017329,-0.923009,1.48622,0.86159,1.944456
2014-03-05,1.12297,-0.306524,-0.228065,-1.221413,-1.266035,2.011554,-0.925616,1.479688,0.863763,1.944287
2014-03-06,1.118276,-0.276776,-0.220201,-1.254347,-1.263052,2.005388,-0.920724,1.474582,0.863717,1.942054
2014-03-07,1.112761,-0.260925,-0.206769,-1.273531,-1.258728,2.013585,-0.916314,1.483024,0.860733,1.946327
2014-03-10,1.106034,-0.339346,-0.247861,-1.229403,-1.245583,2.014536,-0.886262,1.483971,0.853083,1.944634
2014-03-11,1.105853,-0.34076,-0.287812,-1.180278,-1.24352,2.007299,-0.883195,1.475788,0.852686,1.952248
2014-03-12,1.106791,-0.34064,-0.307659,-1.179242,-1.240781,1.996829,-0.85437,1.4629,0.854501,1.941993
2014-03-13,1.103998,-0.37708,-0.316591,-1.159495,-1.238964,1.999023,-0.853511,1.459071,0.851775,1.941743
2014-03-14,1.112152,-0.372462,-0.355866,-1.177807,-1.241189,1.993686,-0.858845,1.454705,0.848161,1.938903
2014-03-17,1.127216,-0.38417,-0.371388,-1.190065,-1.251851,2.020351,-0.868017,1.489345,0.85455,1.955523
2014-03-18,1.123656,-0.396151,-0.393525,-1.206724,-1.251934,2.00436,-0.874236,1.464599,0.857758,1.955483
2014-03-19,1.12733,-0.392183,-0.409924,-1.202121,-1.256422,1.988695,-0.862035,1.454696,0.851544,1.958285
2014-03-20,1.122781,-0.457484,-0.426273,-1.174486,-1.246377,1.975333,-0.836715,1.44,0.85183,1.957328
2014-03-21,1.116647,-0.389574,-0.365237,-1.194503,-1.246899,1.973621,-0.818065,1.418099,0.84456,1.9519
2014-03-24,1.117882,-0.34594,-0.357138,-1.128901,-1.248784,1.937219,-0.748831,1.425758,0.860602,1.93442
2014-03-25,1.116541,-0.352352,-0.397419,-1.10493,-1.249775,1.944075,-0.711984,1.426417,0.874485,1.932921
2014-03-26,1.118812,-0.35469,-0.406008,-1.103371,-1.254148,1.949627,-0.725824,1.423182,0.875913,1.920623
2014-03-27,1.109109,-0.34339,-0.474919,-1.060045,-1.246667,1.943896,-0.698886,1.361923,0.866977,1.886095
2014-03-28,1.099242,-0.377004,-0.559247,-0.967754,-1.242142,1.94559,-0.67665,1.316474,0.873175,1.876859
2014-03-31,1.084349,-0.371743,-0.494749,-0.985632,-1.227234,1.948682,-0.677427,1.32815,0.885179,1.87105
2014-04-01,1.09474,-0.405636,-0.496451,-0.995192,-1.234141,1.941925,-0.687679,1.3307,0.886111,1.873767
2014-04-02,1.090079,-0.392046,-0.499876,-0.945792,-1.232616,1.933267,-0.652041,1.325566,0.880785,1.86672
2014-04-03,1.093963,-0.38122,-0.546473,-0.926136,-1.233689,1.939342,-0.641279,1.333864,0.887614,1.864584
2014-04-04,1.0947,-0.38348,-0.508561,-0.953056,-1.234076,1.94383,-0.645741,1.338168,0.892289,1.868176
2014-04-08,1.088279,-0.405728,-0.577487,-0.932649,-1.226193,1.953432,-0.639129,1.336106,0.890832,1.855687
2014-04-09,1.093268,-0.410484,-0.560773,-0.947145,-1.231796,1.958863,-0.64422,1.339209,0.891966,1.857893
2014-04-10,1.083637,-0.340838,-0.583417,-0.880082,-1.225488,1.952223,-0.597131,1.345023,0.892059,1.852489
2014-04-11,1.084445,-0.339872,-0.519343,-0.90074,-1.228479,1.946804,-0.545608,1.341507,0.886312,1.848793
2014-04-14,1.08663,-0.352585,-0.581433,-0.896078,-1.230166,1.949014,-0.543731,1.339708,0.879268,1.852088
2014-04-15,1.092768,-0.326827,-0.59206,-0.897914,-1.229205,1.94512,-0.540439,1.34004,0.87776,1.860074
2014-04-16,1.091078,-0.323784,-0.586615,-0.893877,-1.228975,1.947098,-0.532833,1.332768,0.87351,1.870888
2014-04-17,1.091786,-0.322843,-0.613993,-0.902346,-1.227592,1.950377,-0.530402,1.335961,0.877188,1.866092
2014-04-18,1.096396,-0.325033,-0.626393,-0.896932,-1.2301,1.952471,-0.525139,1.339327,0.882374,1.867937
2014-04-21,1.090708,-0.28645,-0.606874,-0.870531,-1.224871,1.949077,-0.515997,1.344357,0.887253,1.859555
2014-04-22,1.086793,-0.289917,-0.585251,-0.904813,-1.225731,1.953851,-0.502909,1.337606,0.883467,1.850465
2014-04-23,1.087856,-0.290428,-0.512736,-0.913311,-1.2253,1.954661,-0.512274,1.339049,0.889156,1.853387
2014-04-24,1.084977,-0.315257,-0.415962,-0.897324,-1.220424,1.956055,-0.504977,1.336552,0.880054,1.851927
2014-04-25,1.072615,-0.342332,-0.46055,-0.881943,-1.210057,1.95347,-0.490009,1.322972,0.872402,1.83752
2014-04-28,1.060281,-0.422159,-0.468841,-0.830842,-1.199717,1.943721,-0.471423,1.317688,0.861327,1.83455
2014-04-29,1.061277,-0.423649,-0.411216,-0.793623,-1.198623,1.947194,-0.482355,1.317841,0.858167,2.078625
2014-04-30,1.065651,-0.41952,-0.451743,-0.817742,-1.201291,1.927198,-0.474058,1.335542,0.857639,2.037195
2014-05-05,1.062432,-0.437069,-0.502535,-0.83671,-1.207804,1.917929,-0.476489,1.31982,0.876809,1.985337
2014-05-06,1.06113,-0.436289,-0.401291,-0.846069,-1.206894,1.916208,-0.494044,1.325675,0.887842,1.865053
2014-05-07,1.057498,-0.423682,-0.489982,-0.836593,-1.202302,1.913179,-0.495069,1.328162,0.885811,1.861963
2014-05-08,1.058775,-0.427554,-0.47983,-0.854574,-1.204552,1.907342,-0.491071,1.324105,0.88681,1.858039
2014-05-09,1.0546,-0.427922,-0.512097,-0.839845,-1.202568,1.909318,-0.479087,1.329333,0.885435,1.853844
2014-05-12,1.057462,-0.478214,-0.516663,-0.831478,-1.208424,1.903639,-0.487991,1.34475,0.888849,1.858771
2014-05-13,1.057417,-0.472448,-0.392552,-0.815366,-1.206857,1.913569,-0.533011,1.348998,0.886113,1.86575
2014-05-14,1.059808,-0.473487,-0.354529,-0.841063,-1.207207,1.907873,-0.575738,1.349732,0.887088,1.861565
2014-05-15,1.054575,-0.4945,-0.403019,-0.829966,-1.201836,1.915631,-0.580359,1.35005,0.884443,1.85767
2014-05-16,1.052845,-0.493764,-0.431756,-0.814414,-1.201572,1.911614,-0.585889,1.350788,0.882822,1.854651
2014-05-19,1.071057,-0.480444,-0.439272,-0.815949,-1.206375,1.904787,-0.592063,1.355972,0.869408,1.868765
2014-05-20,1.075378,-0.483719,-0.4761,-0.821874,-1.208461,1.905887,-0.604082,1.35687,0.870606,1.869431
2014-05-21,1.080999,-0.499202,-0.505874,-0.803242,-1.215513,1.916136,-0.614793,1.370842,0.871951,1.874153
2014-05-22,1.076864,-0.49322,-0.531915,-0.810135,-1.215954,1.913231,-0.616794,1.361952,0.872702,1.872285
2014-05-23,1.078667,-0.476839,-0.487327,-0.871957,-1.220589,1.9192,-0.62,1.36532,0.87668,1.871106
2014-05-26,1.085687,-0.499331,-0.482636,-0.941475,-1.22804,1.912054,-0.631574,1.36072,0.875125,1.875618
2014-05-27,1.087852,-0.501995,-0.388621,-0.925523,-1.231383,1.915419,-0.640861,1.360775,0.875653,1.875676
2014-05-28,1.089311,-0.514513,-0.335721,-0.909368,-1.232592,1.922008,-0.668976,1.363351,0.876944,1.877196
2014-05-29,1.088474,-0.523235,-0.243012,-0.860058,-1.223937,1.91977,-0.654233,1.36015,0.87132,1.871593
2014-05-30,1.087981,-0.527694,-0.245714,-0.847937,-1.222924,1.920133,-0.656836,1.362193,0.870187,1.874974
2014-06-03,1.095195,-0.531813,-0.217531,-0.900852,-1.223904,1.909853,-0.670382,1.353551,0.876072,1.863829
2014-06-04,1.096109,-0.498434,-0.281356,-0.926017,-1.221983,1.914597,-0.68433,1.357431,0.877546,1.866797
2014-06-05,1.09495,-0.513879,-0.277283,-0.912606,-1.223437,1.922104,-0.695793,1.35386,0.877292,1.870146
2014-06-06,1.098364,-0.513456,-0.285747,-0.911726,-1.225108,1.926148,-0.695902,1.343073,0.878694,1.865203
2014-06-09,1.095594,-0.511108,-0.297395,-0.921154,-1.220418,1.927852,-0.68524,1.331884,0.878461,1.860665
2014-06-10,1.095166,-0.51775,-0.293817,-0.900021,-1.219848,1.936077,-0.683981,1.344638,0.884706,1.866043
2014-06-11,1.096076,-0.519676,-0.348056,-0.888958,-1.223689,1.936771,-0.698091,1.351283,0.8838,1.867226
2014-06-12,1.09943,-0.513617,-0.359028,-0.842647,-1.224578,1.936635,-0.695515,1.352532,0.878144,1.863303
2014-06-13,1.09884,-0.513705,-0.314229,-0.880018,-1.228993,1.936278,-0.711258,1.350702,0.87822,1.862929
2014-06-16,1.101179,-0.51109,-0.271398,-0.871029,-1.233325,1.938773,-0.711484,1.354273,0.876805,1.860643
2014-06-17,1.104596,-0.528616,-0.27365,-0.838481,-1.23759,1.945573,-0.707328,1.361386,0.877779,1.871932
2014-06-18,1.099516,-0.533445,-0.307634,-0.867479,-1.236457,1.948488,-0.701664,1.370168,0.877696,1.876149
2014-06-19,1.089669,-0.563026,-0.280361,-0.864477,-1.224775,1.954173,-0.676954,1.372941,0.873893,1.870707
2014-06-20,1.099217,-0.582395,-0.320315,-0.844909,-1.231135,1.957534,-0.68141,1.375282,0.875535,1.874498
2014-06-23,1.104219,-0.615926,-0.319032,-0.802163,-1.232376,1.952521,-0.701905,1.377835,0.876492,1.881206
2014-06-24,1.107675,-0.608132,-0.294536,-0.884214,-1.237721,1.955996,-0.709284,1.382428,0.875102,1.88616
2014-06-25,1.106203,-0.613906,-0.320565,-0.90311,-1.244624,1.953195,-0.721261,1.378028,0.872566,1.88657
2014-06-26,1.110901,-0.628567,-0.308894,-0.89003,-1.249214,1.951898,-0.768764,1.377863,0.874547,1.892182
2014-06-27,1.119505,-0.638136,-0.337385,-0.873207,-1.244288,1.944564,-0.773162,1.381709,0.884364,1.900088
2014-06-30,1.12006,-0.651691,-0.294746,-0.865012,-1.246955,1.945441,-0.796871,1.385129,0.877937,1.893779
2014-07-01,1.13258,-0.664763,-0.279378,-0.848291,-1.254558,1.950755,-0.795939,-0.992583,0.899645,1.908028
2014-07-02,1.135269,-0.681036,-0.279643,-0.897335,-1.258247,1.950827,-0.798118,1.391276,0.887362,1.906165
2014-07-03,1.136956,-0.694956,-0.329947,-0.926013,-1.259354,1.946511,-0.807044,-1.002012,0.903558,1.904453
2014-07-04,1.137902,-0.707627,-0.349265,-0.891946,-1.259248,1.945525,-0.814255,1.386278,0.885353,1.899954
2014-07-07,1.139421,-0.706861,-0.363116,-0.887093,-1.259389,1.94734,-0.818721,1.390808,0.883638,1.899226
2014-07-08,1.137804,-0.708224,-0.35035,-0.900263,-1.258686,1.94475,-0.838709,1.383396,0.887045,1.885378
2014-07-09,1.135631,-0.690268,-0.374806,-0.875306,-1.255764,1.940898,-0.838359,1.382322,0.886305,1.883682
2014-07-10,1.140203,-0.688849,-0.383291,-0.86304,-1.261441,1.93928,-0.839628,1.377703,0.884359,1.884398
2014-07-11,1.144752,-0.697335,-0.417796,-0.822821,-1.268921,1.932655,-0.855858,1.376926,0.887164,1.893864
2014-07-14,1.155504,-0.696485,-0.414757,-0.883499,-1.276315,1.939782,-0.869275,1.388659,0.889954,1.918074
2014-07-15,1.159864,-0.69365,-0.409576,-0.861678,-1.278186,1.938958,-0.852219,1.403494,0.890719,1.927076
