date,601899.XSHG,600519.XSHG,601169.XSHG,002202.XSHE,601618.XSHG,002236.XSHE,601088.XSHG,000725.XSHE,603993.XSHG,000001.XSHE,600196.XSHG,601288.XSHG,600332.XSHG,601800.XSHG,002142.XSHE,000568.XSHE,601989.XSHG,600406.XSHG,000858.XSHE,002007.XSHE,600009.XSHG,000876.XSHE,601328.XSHG,600585.XSHG,600028.XSHG,600893.XSHG,600309.XSHG,601377.XSHG,601998.XSHG,000157.XSHE,601006.XSHG,601628.XSHG,600276.XSHG,601009.XSHG,600048.XSHG,600547.XSHG,600383.XSHG,601186.XSHG,601390.XSHG,600000.XSHG,600837.XSHG,601888.XSHG,000002.XSHE,600588.XSHG,600660.XSHG,600104.XSHG,000425.XSHE,600111.XSHG,000768.XSHE,600741.XSHG,601988.XSHG,000538.XSHE,601766.XSHG,600900.XSHG,600050.XSHG,601668.XSHG,000063.XSHE,600015.XSHG,601336.XSHG,600016.XSHG,600795.XSHG,601601.XSHG,601901.XSHG,601111.XSHG,002304.XSHE,601818.XSHG,002594.XSHE,601166.XSHG,601318.XSHG,002415.XSHE,601939.XSHG,601688.XSHG,600690.XSHG,000625.XSHE,002230.XSHE,600019.XSHG,600085.XSHG,000333.XSHE,000338.XSHE,600036.XSHG,601669.XSHG,000069.XSHE,600010.XSHG,002241.XSHE,600030.XSHG,000963.XSHE,600018.XSHG,600115.XSHG,601857.XSHG,600029.XSHG,600999.XSHG,601398.XSHG,600886.XSHG,601600.XSHG,000651.XSHE,600887.XSHG,601633.XSHG,600031.XSHG,000776.XSHE,000100.XSHE,600362.XSHG,000895.XSHE
2014-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-1-3,-0.010638298,-0.015891294,-0.013157895,0.008,-0.013986014,0.00512492,-0.01660281,0,-0.016129032,-0.024469821,-0.021188935,-0.007092199,-0.017059301,-0.015673981,-0.008928571,-0.017845762,-0.018083183,0.004103967,-0.016627078,0.003500583,-0.021100226,0.00317965,-0.009174312,-0.045495094,-0.016260163,-0.027012426,-0.024615385,-0.019444444,-0.015873016,-0.010582011,0.031784841,-0.025963808,-0.006075334,-0.009569378,-0.008042895,0.001122334,-0.016509434,-0.029411765,-0.018518519,-0.020547945,-0.039215686,-0.011299435,-0.019493177,0.034567901,-0.019538188,-0.029620853,-0.00913242,0.029808375,-0.01511879,-0.053763441,-0.02,-0.021111381,-0.015037594,-0.016091954,-0.018050542,-0.012738854,0.019480519,-0.028571429,-0.024025627,-0.016483516,-0.017045455,-0.022675737,0,-0.01369863,-0.012975779,-0.012578616,0.011602806,-0.024922118,-0.024484536,0.015294118,-0.008298755,-0.028248588,-0.030573248,0.007827789,-0.021276596,-0.003968254,-0.031362468,-0.016806723,-0.022408964,-0.020491803,-0.01953125,-0.01946472,0.102409639,0.018109791,-0.028629857,0.005794702,-0.024813896,-0.018796992,-0.003552398,-0.01171875,-0.034688995,-0.004761905,-0.003289474,0.006024096,-0.033402923,0.002109705,-0.020654045,-0.014492754,-0.022657055,-0.011695906,0.010690789,-0.005067568
2014-1-6,-0.016129032,-0.026211093,-0.013333333,-0.043650794,-0.028368794,-0.026768642,-0.035064935,0,-0.038251366,-0.02173913,-0.052315093,-0.007142857,-0.038842975,-0.022292994,0.013513514,-0.033095393,-0.057090239,0.005449591,-0.038647343,-0.037209302,-0.03926097,-0.042789223,-0.009259259,-0.037383178,0.020661157,-0.043309273,-0.042586751,-0.011331445,-0.016129032,-0.032085561,-0.030805687,0.01453958,-0.034229829,-0.014492754,-0.056756757,-0.032511211,-0.047961631,-0.044077135,-0.04245283,0.004662005,0.011337868,-0.033015873,-0.045725646,-0.042959427,-0.018115942,-0.030525031,-0.036866359,-0.013094418,-0.039473684,-0.003246753,-0.013605442,-0.012146753,-0.038167939,-0.021028037,-0.029411765,-0.019354839,-0.030937216,-0.024064171,-0.014223195,-0.027932961,-0.01734104,-0.027068832,0,-0.016666667,-0.00832603,-0.01910828,-0.010669512,-0.006389776,0,-0.017381228,0.0041841,0.01744186,-0.003942181,-0.027184466,-0.0409699,-0.027888446,-0.026539278,-0.030982906,-0.034383954,-0.0041841,-0.047808765,-0.034739454,-0.06010929,-0.042245692,0,-0.01563786,-0.066157761,-0.038314176,0.017825312,-0.027667984,-0.017348203,0,-0.01650165,-0.032934132,-0.031317495,-0.002105263,-0.030755712,-0.034926471,-0.012644889,-0.01183432,-0.034174125,-0.033389926
2014-1-7,0,-0.001321798,0,0.029045643,0,-0.013752456,-0.001345895,-0.005376344,0,-0.003418803,0.012055838,0,0.010748065,0.006514658,-0.008888889,-0.002013423,-0.009765625,0.046070461,0.001675042,0.054347826,0.002403846,-0.028145695,0.004672897,-0.003883495,-0.016194332,0.00754498,0.006589786,0.00286533,0,0.005524862,-0.02200489,-0.003184713,0.034177215,0,-0.008595989,-0.006952491,0.007556675,-0.011527378,-0.004926108,-0.004640371,-0.012331839,0.000656599,-0.00625,0.014962594,-0.016605166,0.007556675,0.009569378,-0.017458101,0.006849315,-0.001628664,0,-0.008030113,-0.015873016,-0.00477327,0.003787879,0.006578947,-0.018779343,-0.002739726,-0.002219756,-0.011494253,0,-0.0063593,0,0,-0.0101635,0,0.012671879,-0.004823151,-0.004623514,-0.018867925,-0.016666667,-0.012857143,-0.006596306,-0.023952096,-0.00087184,-0.004098361,-0.011995638,-0.003307607,0.002967359,0.005602241,-0.0041841,-0.002570694,-0.023255814,0.017991875,-0.015789474,-0.010033445,0.081743869,0.003984064,-0.00525394,-0.008130081,-0.002522068,0,0.003355705,-0.003095975,-0.002229654,0.014767932,-0.011786038,-0.005714286,-0.005336179,0,0.00336984,0.016393443
2014-1-8,-0.010928962,-0.009625797,0,0.004032258,-0.01459854,-0.009296149,-0.017520216,0.005405405,-0.017045455,0.010291595,0.046394984,-0.007194245,0.010208422,-0.006472492,0.00896861,-0.035642233,-0.001972387,0.007772021,-0.010869565,0.006872852,0.017585931,0.00681431,0.004651163,0.001949318,-0.004115226,0.013248848,-0.008183306,0.011428571,0,-0.002747253,0,-0.003194888,0.00122399,0.004901961,-0.011560694,-0.039673279,0,-0.011661808,-0.01980198,0.006993007,0.004540295,-0.022309711,-0.002096436,0.007371007,0.015009381,0.02,-0.018957346,-0.012082445,-0.007936508,-0.021207178,-0.006896552,-0.000252972,-0.021505376,-0.004796163,-0.011320755,-0.013071895,0.002870813,0.019230769,0.010011123,0.002906977,0,0.004,0,-0.002824859,-0.033035714,0,0.02742279,0.008077544,0.0132714,-0.025240385,-0.008474576,0.004341534,0.005312085,-0.022494888,0.007853403,-0.016460905,0.011589404,0,0.00295858,0.009749304,-0.004201681,-0.005154639,-0.035714286,-0.007411631,0.003208556,0.058277027,-0.050377834,-0.003968254,-0.012323944,0,0.007585335,0.004784689,0.016722408,-0.01242236,0.006703911,0.040540541,0.00733945,-0.003831418,0.00751073,0.005988024,-0.000839631,0.007488479
2014-1-9,-0.016574586,-0.000485968,0,0.004016064,-0.014814815,-0.006032172,-0.008230453,0.005376344,-0.028901734,0.005093379,-0.019772319,0,-0.026105263,-0.006514658,-0.006666667,0.00348675,-0.001976285,-0.014138817,0.021132713,-0.029579067,0.007069914,-0.035532995,0,-0.002918288,0.004132231,-0.018192155,-0.01650165,-0.011299435,-0.004098361,-0.016528926,-0.005,-0.025641026,0.002444988,-0.004878049,0.020467836,-0.012150668,-0.005,0.005899705,0,0.009259259,-0.027118644,-0.000671141,0.006302521,-0.002439024,-0.03142329,-0.025735294,-0.009661836,-0.015107914,-0.012571429,-0.02,-0.006944444,0.002277328,0.010989011,-0.014457831,-0.011450382,0,0.000954198,0,-0.011013216,-0.002898551,0,-0.009561753,0,-0.014164306,0.006925208,-0.006493506,-0.024876911,0.003205128,-0.016371971,-0.027127004,-0.008547009,-0.015850144,-0.034346103,-0.018828452,0,-0.008368201,-0.010365521,0,-0.017699115,0.006896552,-0.004219409,-0.020725389,-0.030864198,-0.036760482,-0.021321962,-0.003990423,0.026525199,-0.007968127,-0.007130125,-0.008196721,-0.021329987,-0.00952381,-0.013157895,-0.025157233,-0.023307436,-0.037962038,-0.030965392,-0.009615385,-0.020234292,0.011904762,-0.024369748,0.004574042
2014-1-10,0,-0.000607755,-0.004504505,-0.028,-0.015037594,-0.016857721,0.004149378,-0.010695187,0,0,0.005501222,0,-0.005620406,0,-0.002237136,-0.013203614,-0.035643564,-0.032594524,-0.007450331,-0.025791325,-0.010140406,0.001754386,0,0.010731707,0.004115226,-0.032426173,0.001677852,-0.014285714,-0.004115226,-0.014005602,0,-0.000822368,-0.029268293,0,0,0.001230012,0.007537688,-0.029325513,-0.025252525,0.01146789,-0.031358885,0.053055742,-0.010438413,-0.004889976,0,0,-0.029268293,-0.00073046,-0.023148148,0.003401361,0,-0.020701843,-0.019021739,0.009779951,-0.007722008,-0.006622517,-0.023832221,0.018867925,0.000556793,0.002906977,-0.005882353,0.000804505,0,-0.002873563,0.003668042,-0.006535948,-0.040127558,0.003194888,-0.009986684,-0.016476553,0.004310345,-0.005856515,0.01504788,0.012793177,0,-0.004219409,-0.039140022,0,-0.015015015,0.009589041,-0.012711864,0.005291005,-0.038216561,-0.054859869,-0.026143791,-0.014423077,-0.010335917,-0.02811245,-0.007181329,-0.004132231,-0.03974359,0,0.026666667,0.016129032,0.001136364,0.039460021,0.005639098,-0.031067961,-0.022826087,0.005882353,-0.003445306,-0.003414912
2014-1-13,0.016853933,0.005229871,0,-0.034979424,0.015267176,-0.022633745,0.004132231,-0.021621622,0.035714286,-0.018581081,-0.074772036,0,-0.003043478,0.003278689,0,0.014084507,0.012320329,0.005390836,0.018348624,0.009626955,0.000788022,0.003502627,0.009259259,0.004826255,0.012295082,0,-0.021775544,-0.002898551,0.016528926,0.005681818,-0.010050251,-0.009053498,-0.018844221,0.014705882,-0.017191977,-0.001228501,-0.039900249,0.009063444,0,0,-0.002398082,-0.017219388,-0.018987342,0.01965602,0.007633588,-0.003773585,0,0.00877193,0.002369668,0,0.013986014,0.003609178,-0.002770083,0,0.003891051,-0.013333333,-0.048828125,0.005291005,-0.005008347,-0.005797101,0.00591716,-0.002411576,0.017391304,-0.002881844,0.024668799,0.006578947,0.022702104,-0.003184713,-0.00268998,0.00257732,0.012875536,0.001472754,-0.010781671,0.018947368,0.001731602,0.016949153,-0.000573723,0.001106195,0,0.006784261,-0.004291845,-0.028947368,0.006622517,-0.025867508,-0.007829978,-0.029268293,-0.01305483,0,0.001808318,0,-0.012016021,0,0.019480519,0.095238095,-0.038592509,-0.013986014,-0.019626168,0.008016032,-0.005561735,-0.01754386,0.015557476,0.02055968
2014-1-14,-0.005524862,0.011736237,0,0.061833689,0.015037594,-0.012631579,0.005486968,0.022099448,0,0.010327022,0.045992116,0,0.003052769,0.003267974,-0.024663677,0.016666667,-0.006085193,0.001340483,0.023751024,-0.010727056,0.016535433,-0.017452007,-0.009174312,0.005763689,0.024291498,0.021543986,0.009417808,0.014534884,-0.008130081,0.011299435,-0.015228426,0.004983389,-0.006402049,0.009661836,0.008746356,-0.013530135,-0.002597403,0.002994012,0.010362694,0,0.013221154,0.040233615,-0.002150538,0.026506024,0.028409091,0.008838384,0.015075377,-0.000724638,0.007092199,0.010169492,-0.006896552,0.002311842,0.013888889,0.007263923,0.011627907,0.006756757,0,0.002631579,0.015659955,0.005830904,0,0.012087027,-0.046153846,0.005780347,0.012929113,0.006535948,0.008662696,0.003194888,0.013486177,0.014138817,-0.004237288,0.014705882,0.061307902,0.018595041,0.059636992,0.016666667,0.013777268,0.033149171,0.027439024,-0.01212938,0.021551724,-0.002710027,0.006578947,0.000647668,0.013528749,0.021775544,0.010582011,0.008264463,0.010830325,0.008298755,0.018918919,-0.004807692,0.006369427,-0.046376812,0.030696576,0.007092199,-0.006673022,0.001988072,0.011185682,0.029761905,-0.001702128,0.011191942
2014-1-15,-0.005555556,-0.020928008,-0.013574661,0.02811245,-0.014814815,0.019900498,-0.006821282,-0.005405405,-0.017241379,-0.003407155,0.045854271,-0.014492754,-0.004782609,-0.006514658,-0.013793103,-0.021857923,-0.016326531,0.010709505,-0.0184,0.006024096,-0.005422153,-0.007104796,-0.009259259,0.040114613,0.015810277,0.100175747,0.010178117,-0.005730659,-0.024590164,-0.002793296,0.018041237,0.001652893,0.056701031,-0.014354067,-0.011560694,-0.024937656,0.005208333,0,0,-0.01814059,-0.013048636,-0.002495321,-0.00862069,0.084507042,-0.023941068,0.006257822,-0.014851485,-0.010152284,0.016431925,-0.016778523,0,0.001025115,-0.01369863,-0.004807692,-0.003831418,0.006711409,-0.008213552,-0.026246719,-0.00660793,-0.008695652,0,-0.006369427,-0.023297491,0,-0.018926056,-0.006493506,0.021470746,-0.012738854,-0.00665336,0.048162231,-0.008510638,0,0.042362003,-0.012170385,0.01223491,-0.012295082,0.017553794,0.007486631,-0.002967359,-0.015006821,0,-0.027173913,-0.026143791,0.024595469,-0.010011123,0.01557377,-0.010471204,-0.008196721,-0.005357143,0,0.022546419,-0.019323671,-0.009493671,-0.027355623,0.004581901,0.007042254,-0.03646833,-0.007936508,-0.006637168,0,-0.019607843,0
